appid,name,developer,release_date,genre,genre_code,price,total_reviews,positive_ratio,avg_playtime_mins,peak_players,metacritic_score,developer_bio,platforms
100024,Forsaken Legends Origins,RedKite,04/01/2023,Puzzle,5,33.1392,309,57.8,782,121,83.3,"Small team, big dreams. Making games since 2015.",2
100025,Crystal Covenant II,CrystalDawn,03/06/2018,Action,1,47.4977,627,77.75,722,405,NA,Our mission: games that matter.,2
100026,Ancient Abyss,Moonlight Games,19/03/2021,Action,1,41.8759,405,94.1,286,155,66.5,Focused on player agency and emergent gameplay.,3
100027,Storm Harbinger,RedKite,04/05/2023,Action,1,37.5952,866,63.06,277,181,47.6,Focused on player agency and emergent gameplay.,1
100028,Shattered Inferno II,RedKite,23/05/2021,Strategy,3,0,509,95.92,465,181,84.7,Passionate about narrative-driven experiences.,3
100029,Swift Legends Reborn,IronGate Studios,12/09/2020,Action,1,40.3232,400,62.32,930,349,NA,Building the future of interactive entertainment.,1
100030,Storm Cipher Origins,THUNDERBYTE,08/01/2024,Action,1,40.224,801,82.47,199,101,51.4,We make games that push boundaries.,2
100031,Ethereal Wanderer Redux,PixelForge,29/11/2020,Simulation,4,41.9706,887,76.09,1203,520,98,Three friends who quit their jobs to make games.,2
100032,Fallen Frontier,CRYSTALDAWN,15/08/2018,Action,1,46.8073,237,54.74,569,206,50.9,Passionate about narrative-driven experiences.,3
100033,Dire Eclipse Origins,PIXELFORGE,07/09/2019,Strategy,3,63.8747,477,99.81,791,622,46.2,NA,3
100034,Steel Inferno,PixelForge,19/07/2019,Puzzle,5,44.3975,675,61.24,618,303,61.2,"Small team, big dreams. Making games since 2015.",3
100035,Neon Fortress,RedKite,23/11/2024,Strategy,3,0,522,97.89,837,257,70.9,Passionate about narrative-driven experiences.,2
100036,Solar Nexus,RedKite,29/12/2022,Action,1,48.4468,335,82.71,899,408,57.9,"Small team, big dreams. Making games since 2015.",1
100037,Burning Nexus,CrystalDawn,21/04/2024,RPG,2,67.0464,690,66.02,1670,115,43.7,Three friends who quit their jobs to make games.,2
100038,Grand Zenith Redux,Neon Arc,24/08/2023,Puzzle,5,54.2101,382,90.65,805,443,57.5,NA,3
100039,Infinite Vanguard,Moonlight Games,27/12/2019,Strategy,3,47.4017,395,74.9,658,150,NA,Award-winning indie studio based in Melbourne.,2
100040,Iron Vendetta Origins,CrystalDawn,17/03/2018,Puzzle,5,47.8712,327,95.2,392,401,97.7,Veterans from AAA studios going indie.,3
100041,Savage Catalyst,ThunderByte,10/01/2023,Simulation,4,56.4174,258,85,305,252,42,Veterans from AAA studios going indie.,3
100042,Primal Catalyst,IronGate Studios,24/06/2021,Simulation,4,55.938,1115,70.91,841,271,50.2,NA,2
100043,Swift Legends Reborn (1),IronGate Studios,23/11/2024,Puzzle,5,38.0238,330,88.64,1450,165,48.3,Building the future of interactive entertainment.,1
100044,Cursed Odyssey,irongate studios,10/01/2023,RPG,2,60.7244,451,74.89,477,329,93.8,"Small team, big dreams. Making games since 2015.",1
100045,Fallen Exodus Reborn,PixelForge,13/02/2019,Simulation,4,35.4133,838,65.62,696,137,NA,Focused on player agency and emergent gameplay.,3
100046,Fallen Chronicles Reborn,ThunderByte,14/09/2023,Simulation,4,46.345,433,67.06,588,395,65.5,NA,3
100047,Primal Wanderer,PixelForge,03/04/2022,RPG,2,74.6676,0,69.96,220,216,78.8,Veterans from AAA studios going indie.,3
100048,Ancient Legends Origins,CrystalDawn,27/10/2018,Action,1,29.487,311,84.35,1026,203,77.8,Passionate about narrative-driven experiences.,1
100049,Cursed Exodus,ThunderByte,07/06/2018,RPG,2,44.4674,738,56.73,1177,515,73.8,Award-winning indie studio based in Melbourne.,2
100050,Noble Protocol,IronGate Studios,30/05/2020,RPG,2,59.354,0,73.13,851,524,NA,Our mission: games that matter.,1
100051,Hollow Harbinger Origins,IronGate Studios,29/10/2022,Action,1,53.4114,774,60.2,178,222,71,NA,1
100052,Rogue Legacy Origins,SilverLeaf,21/07/2022,Simulation,4,59.6761,702,82.29,834,432,NA,NA,3
100053,Wild Eclipse II,IronGate Studios,03/07/2021,Strategy,3,47.58,246,68.13,387,172,90.7,We make games that push boundaries.,1
100054,Dire Legacy Origins,RedKite,15/06/2022,Simulation,4,0,1083,65.01,387,53,47.4,We make games that push boundaries.,2
100055,Primal Dominion Origins,Neon Arc,13/06/2024,RPG,2,45.6071,498,70.75,202,214,77.6,Award-winning indie studio based in Melbourne.,1
100056,Savage Revenant,ThunderByte,19/10/2023,Action,1,40.9384,554,77.19,1174,81,44.5,Our mission: games that matter.,1
100057,Cursed Chronicles,RedKite,08/04/2023,Simulation,4,49.0199,1141,96.02,496,33,NA,Our mission: games that matter.,2
100058,Hollow Apex Reborn,ThunderByte,27/04/2024,RPG,2,50.2657,272,53.76,1174,646,49.6,NA,3
100059,Ethereal Inferno Reborn,IronGate Studios,12/10/2018,Puzzle,5,0,931,90.6,426,159,NA,Three friends who quit their jobs to make games.,1
100060,Swift Nexus,PixelForge,27/03/2019,Simulation,4,61.1954,0,70.01,485,172,77.4,NA,2
100061,Grand Solstice Origins,Neon Arc,01/01/2021,RPG,2,67.3754,517,87.78,1327,182,81.8,NA,3
100062,Silent Inferno II,CrystalDawn,17/12/2019,Simulation,4,33.493,279,66.05,879,56,75.7,Creating unique worlds one pixel at a time.,3
100063,Iron Horizon Redux,RedKite,12/10/2023,RPG,2,57.4512,1133,90.82,513,324,69,NA,3
100064,Broken Nexus Origins,Neon Arc,28/12/2021,Strategy,3,51.1794,498,62.4,363,433,41,"Small team, big dreams. Making games since 2015.",1
100065,Iron Inferno Redux,RedKite,25/09/2018,Simulation,4,43.3907,655,96.73,860,204,NA,NA,3
100066,Rising Oblivion,IronGate Studios,11/11/2019,Action,1,0,928,77.76,283,129,87.5,Our mission: games that matter.,2
100067,Cursed Fortress,CrystalDawn,02/06/2023,Puzzle,5,46.3606,0,73.96,1169,498,67.1,Our mission: games that matter.,2
100068,Mystic Remnants,silverleaf,11/03/2023,Strategy,3,0,549,90.04,50,160,76.1,NA,3
100069,Rising Zenith Reborn,SilverLeaf,22/01/2021,Action,1,0,370,75.7,764,223,43.9,"Small team, big dreams. Making games since 2015.",1
100070,Shattered Crusade,RedKite,10/04/2019,Strategy,3,46.5308,993,65.71,221,188,97.4,Three friends who quit their jobs to make games.,2
100071,Golden Architect,Neon Arc,09/04/2018,RPG,2,48.9711,720,57.26,1259,206,NA,Passionate about narrative-driven experiences.,2
100072,Wild Legends,PixelForge,09/01/2019,Strategy,3,48.8888,0,89.28,1250,121,88.9,NA,1
100073,Burning Solstice Origins,PixelForge,07/03/2023,Simulation,4,53.617,325,86.06,242,110,87.5,NA,3
100074,Rogue Catalyst,CrystalDawn,13/02/2022,RPG,2,0,0,93.22,255,384,45,Our mission: games that matter.,2
100075,Crystal Vendetta Reborn,Neon Arc,29/03/2024,Puzzle,5,44.7768,650,56.99,1072,301,NA,Veterans from AAA studios going indie.,3
100076,Wild Covenant,Moonlight Games,21/07/2023,Action,1,53.8682,320,64.97,1297,349,54.8,NA,3
100077,Fallen Architect III,Neon Arc,21/06/2020,Puzzle,5,27.0997,300,59.12,502,155,59.3,Building the future of interactive entertainment.,3
100078,Savage Ascension Reborn,SilverLeaf,26/02/2021,RPG,2,58.8689,1031,78.62,186,307,99.8,NA,2
100079,Lost Architect,PixelForge,11/07/2019,Strategy,3,43.1247,140,75.45,782,152,92.8,Three friends who quit their jobs to make games.,2
100080,Solar Apex II,Moonlight Games,15/05/2021,Puzzle,5,30.0903,326,51.56,311,218,66.5,Veterans from AAA studios going indie.,1
100081,Shattered Ascension Origins,Neon Arc,31/03/2023,Strategy,3,0,375,69.99,835,280,94.9,NA,1
100082,Radiant Oblivion,ThunderByte,22/10/2020,Action,1,54.5827,384,69.6,256,820,66.4,Focused on player agency and emergent gameplay.,2
100083,Dark Apex,IronGate Studios,17/08/2023,Action,1,43.8779,242,56.82,290,343,86.4,Veterans from AAA studios going indie.,2
100084,Rogue Wanderer,CrystalDawn,27/09/2020,Puzzle,5,43.7317,623,70.67,367,554,86.2,NA,3
100085,Wild Catalyst Redux,Moonlight Games,31/12/2024,Puzzle,5,38.5903,0,94.93,709,152,NA,NA,2
100086,Wild Nexus Reborn,IronGate Studios,24/07/2022,RPG,2,69.7878,245,96.6,619,229,68.6,Focused on player agency and emergent gameplay.,3
100087,Rising Catalyst,CrystalDawn,13/12/2023,RPG,2,52.6358,0,72.54,479,354,95.6,"Small team, big dreams. Making games since 2015.",2
100088,Phantom Labyrinth,Moonlight Games,27/07/2020,RPG,2,52.6329,0,77.78,892,168,63.1,Three friends who quit their jobs to make games.,3
100089,Broken Fortress (2),IronGate Studios,17/07/2024,Action,1,0,0,65.65,369,104,81.4,Creating unique worlds one pixel at a time.,1
100090,Twisted Revenant II,SilverLeaf,03/01/2018,RPG,2,55.2399,674,86.87,1446,47,NA,We make games that push boundaries.,2
100091,Crystal Chronicles II,RedKite,03/11/2019,Action,1,37.5482,481,53.25,457,135,43.8,Passionate about narrative-driven experiences.,2
100092,Stellar Tempest,moonlight games,07/03/2023,Action,1,50.2246,583,75.6,621,441,NA,Passionate about narrative-driven experiences.,2
100093,Shattered Covenant,PixelForge,12/04/2021,RPG,2,51.9775,649,69.76,282,427,83.5,Our mission: games that matter.,1
100094,Rogue Dynasty,RedKite,28/12/2021,Action,1,46.5676,460,61.08,415,209,60.9,Focused on player agency and emergent gameplay.,1
100095,Twisted Zenith Reborn,CrystalDawn,28/01/2023,Strategy,3,51.6279,546,72.4,263,142,NA,NA,1
100096,Forsaken Catalyst Redux,CrystalDawn,17/04/2020,Puzzle,5,0,746,81.51,425,151,77.6,Veterans from AAA studios going indie.,1
100097,Twisted Tempest,ThunderByte,01/12/2022,Simulation,4,0,547,77.62,289,703,88.3,Building the future of interactive entertainment.,1
100098,Noble Vanguard Reborn,Moonlight Games,18/08/2020,Simulation,4,47.13,432,61.7,696,175,69.4,Our mission: games that matter.,2
100099,Crimson Abyss Redux,RedKite,02/12/2023,Action,1,43.9894,1098,90.69,390,826,97.1,Veterans from AAA studios going indie.,1
100100,Iron Harbinger (3),CrystalDawn,09/02/2023,Action,1,46.4575,385,78.63,343,475,44.2,Passionate about narrative-driven experiences.,3
100101,Noble Architect,RedKite,09/04/2021,RPG,2,0,398,63.44,884,361,84.3,Passionate about narrative-driven experiences.,2
100102,Neon Odyssey III,Neon Arc,01/11/2023,Simulation,4,30.4129,285,74.15,869,209,86.2,Three friends who quit their jobs to make games.,2
100103,Shadow Sanctum II,Moonlight Games,20/12/2024,Strategy,3,55.4308,1196,89.91,324,375,NA,Creating unique worlds one pixel at a time.,3
100104,Twisted Apex,RedKite,17/10/2023,Strategy,3,46.6067,816,59.16,119,417,NA,NA,2
100105,Twisted Realm Redux,ThunderByte,06/09/2019,Puzzle,5,37.4349,686,56.97,730,410,71,Building the future of interactive entertainment.,1
100106,Crimson Catalyst,ThunderByte,24/08/2022,RPG,2,58.825,842,70.22,682,299,50.7,Award-winning indie studio based in Melbourne.,1
100107,Iron Requiem,ThunderByte,31/01/2021,RPG,2,44.4865,553,77.72,461,195,NA,NA,1
100108,Radiant Sanctum,ThunderByte,06/08/2023,Simulation,4,56.0222,926,63.93,936,268,98.4,Veterans from AAA studios going indie.,2
100109,Savage Chronicles Redux,SilverLeaf,19/07/2023,RPG,2,40.8319,357,73.15,617,373,89.1,NA,1
100110,Twisted Siege Redux,Neon Arc,31/05/2020,RPG,2,49.8332,458,59.33,546,139,96.6,Our mission: games that matter.,3
100111,Silent Protocol Redux,Moonlight Games,08/03/2022,Strategy,3,59.9893,238,92.96,263,577,77.6,Focused on player agency and emergent gameplay.,3
100112,Silent Genesis Origins,SilverLeaf,18/04/2018,RPG,2,50.5794,495,96.48,713,435,76.7,Creating unique worlds one pixel at a time.,1
100113,Noble Abyss III,CrystalDawn,22/04/2023,Puzzle,5,43.3331,354,58.27,458,323,80.5,Veterans from AAA studios going indie.,3
100114,Golden Fortress,SilverLeaf,28/03/2023,Action,1,40.3576,971,60.05,681,204,96.5,Veterans from AAA studios going indie.,1
100115,Mystic Solstice,PixelForge,23/06/2019,RPG,2,48.8303,634,63.96,481,525,49.3,NA,1
100116,Primal Abyss Redux,Moonlight Games,23/06/2021,RPG,2,0,1171,63.99,280,690,46.7,Three friends who quit their jobs to make games.,2
100117,Fallen Solstice,CrystalDawn,27/04/2022,Action,1,48.5259,498,71.47,897,415,NA,Creating unique worlds one pixel at a time.,1
100118,Rogue Legacy,PixelForge,26/09/2021,Simulation,4,63.7581,763,81.78,789,516,63.8,NA,3
100119,Steel Labyrinth Reborn,pixelforge,26/11/2020,Action,1,0,583,64.14,240,246,NA,Focused on player agency and emergent gameplay.,1
100120,Radiant Harbinger,ThunderByte,18/05/2020,Simulation,4,0,304,69.97,514,376,53.2,NA,1
100121,Crystal Cipher Origins,CrystalDawn,30/07/2020,RPG,2,69.064,711,96.84,428,267,97.9,NA,3
100122,Noble Covenant II,SilverLeaf,07/04/2021,Simulation,4,52.7612,599,99.25,304,606,92.1,Passionate about narrative-driven experiences.,1
100123,Dire Oblivion II,Moonlight Games,23/07/2021,Action,1,31.5549,1243,71.29,1405,482,NA,Passionate about narrative-driven experiences.,1
100124,Dark Frontier III,Neon Arc,11/05/2022,Puzzle,5,0,753,99.09,1233,457,84.9,Three friends who quit their jobs to make games.,1
100125,Solar Inferno Origins,CrystalDawn,27/04/2020,Puzzle,5,43.7124,933,82.82,190,165,60.1,Our mission: games that matter.,1
100126,Dire Remnants Reborn,IronGate Studios,26/07/2022,Simulation,4,60.1926,0,71.19,177,218,41.7,"Small team, big dreams. Making games since 2015.",1
100127,Steel Dynasty,thunderbyte,21/09/2021,Action,1,41.1301,295,67.6,745,530,NA,NA,2
100128,Storm Siege,ThunderByte,10/12/2020,RPG,2,77.7852,605,89.24,139,382,73.7,Creating unique worlds one pixel at a time.,2
100129,Lone Apex,PixelForge,08/10/2020,Action,1,0,306,62.7,1095,393,61.4,Three friends who quit their jobs to make games.,2
100130,Swift Eclipse,Neon Arc,28/03/2018,Puzzle,5,45.6089,0,85.54,329,221,NA,"Small team, big dreams. Making games since 2015.",3
100131,Mystic Solstice (4),Neon Arc,26/11/2018,Puzzle,5,59.7541,690,90.2,212,251,73.3,Focused on player agency and emergent gameplay.,1
100132,Dire Dynasty Redux,Neon Arc,05/09/2021,Strategy,3,39.7565,539,75.89,680,234,67.7,Three friends who quit their jobs to make games.,1
100133,Golden Sanctum,PixelForge,26/12/2018,Simulation,4,0,629,60.68,687,200,71.7,Creating unique worlds one pixel at a time.,3
100134,Grand Zenith Reborn,IronGate Studios,23/09/2019,RPG,2,53.6752,582,74.63,395,209,NA,Three friends who quit their jobs to make games.,1
100135,Cursed Oblivion Reborn,Moonlight Games,01/03/2019,Simulation,4,54.7948,811,67.12,1733,236,92.9,NA,1
100136,Hollow Vendetta Redux,CrystalDawn,16/05/2018,Puzzle,5,36.5285,718,88.85,774,210,63.4,Passionate about narrative-driven experiences.,2
100137,Shadow Legends,PixelForge,06/07/2021,Simulation,4,63.8736,741,86.23,243,410,91.1,"Small team, big dreams. Making games since 2015.",2
100138,Rogue Harbinger,ThunderByte,14/01/2020,Action,1,32.4843,330,63.97,358,255,90.7,Three friends who quit their jobs to make games.,1
100139,Shadow Catalyst III,ThunderByte,21/07/2024,Simulation,4,42.0136,785,90.15,1019,205,71.4,Building the future of interactive entertainment.,2
100140,Swift Abyss II,SilverLeaf,21/07/2024,RPG,2,51.5557,722,87.18,636,410,74.2,NA,1
100141,Rising Remnants II,IronGate Studios,03/11/2019,Action,1,0,0,90.95,525,214,NA,"Small team, big dreams. Making games since 2015.",1
100142,Noble Vendetta,SilverLeaf,13/07/2022,Action,1,50.061,351,73.29,517,178,NA,Building the future of interactive entertainment.,1
100143,Grand Dominion,SilverLeaf,26/10/2023,Simulation,4,47.1315,0,93.71,704,502,44.2,Building the future of interactive entertainment.,3
100144,Broken Ascension III,ThunderByte,25/03/2024,Strategy,3,58.1321,1001,54.17,756,283,68.5,Focused on player agency and emergent gameplay.,2
100145,Golden Dynasty Reborn,REDKITE,29/04/2023,Action,1,46.6644,0,94.79,463,288,59.3,Building the future of interactive entertainment.,2
100146,Noble Paragon II,PixelForge,21/10/2024,Strategy,3,53.0272,0,80.35,890,294,98.2,NA,2
100147,Neon Ascension II,Moonlight Games,30/06/2018,Puzzle,5,48.6834,333,52.69,395,139,92.3,Creating unique worlds one pixel at a time.,3
100148,Frozen Siege,IronGate Studios,12/01/2024,Action,1,37.5733,0,81.61,194,268,82.3,Veterans from AAA studios going indie.,2
100149,Storm Covenant,Moonlight Games,07/03/2022,Strategy,3,63.3367,0,94.68,553,297,97.4,Focused on player agency and emergent gameplay.,2
100150,Mystic Crusade Origins,RedKite,03/04/2019,Puzzle,5,42.8388,335,75.36,779,220,48.4,NA,3
100151,Frozen Apex,RedKite,27/04/2021,RPG,2,44.3512,308,54.32,1416,119,73.9,Award-winning indie studio based in Melbourne.,1
100152,Hidden Vanguard Redux,ThunderByte,27/05/2018,Strategy,3,59.2752,1042,97.73,289,388,68,NA,1
100153,Ethereal Dominion Redux,thunderbyte,07/01/2021,Action,1,50.446,622,82.11,780,447,NA,NA,3
100154,Fallen Inferno,PixelForge,06/10/2023,Action,1,53.5458,557,69.64,125,182,NA,Focused on player agency and emergent gameplay.,1
100155,Lone Siege II,MOONLIGHT GAMES,15/02/2021,Simulation,4,62.1799,134,76.92,191,163,48,NA,3
100156,Dire Legends,CrystalDawn,08/04/2023,Action,1,52.854,236,66.22,801,173,51.2,NA,2
100157,Dark Apex (5),PixelForge,23/06/2023,Action,1,0,473,82.26,222,405,81.2,Creating unique worlds one pixel at a time.,1
100158,Lost Wanderer II,PixelForge,13/12/2020,RPG,2,0,460,56.02,933,356,50,Our mission: games that matter.,3
100159,Dire Crusade II,ThunderByte,02/11/2019,Simulation,4,0,0,72.02,406,71,56.4,Focused on player agency and emergent gameplay.,2
100160,Crimson Revenant Redux,RedKite,27/07/2024,Strategy,3,0,622,55.4,576,162,71.1,NA,2
100161,Savage Dynasty II,CrystalDawn,15/02/2023,RPG,2,53.1016,309,63.84,430,226,71.8,NA,2
100162,Infinite Revenant Reborn,ThunderByte,17/07/2018,Strategy,3,73.1856,0,91.57,827,328,NA,NA,3
100163,Wild Vendetta,ThunderByte,08/07/2021,Action,1,50.9985,1149,70.17,863,383,90.8,Veterans from AAA studios going indie.,2
100164,Rising Inferno II,SilverLeaf,09/09/2019,Action,1,47.5337,450,61.49,295,70,NA,NA,1
100165,Iron Siege,IronGate Studios,23/09/2023,Puzzle,5,47.7421,442,95.34,704,70,41.5,Three friends who quit their jobs to make games.,3
100166,Broken Cipher Origins,IronGate Studios,09/01/2021,Action,1,42.6688,764,82.69,325,344,57.5,Creating unique worlds one pixel at a time.,3
100167,Savage Genesis III,SilverLeaf,21/08/2022,Action,1,36.9141,462,63.56,299,415,NA,Creating unique worlds one pixel at a time.,2
100168,Dire Vendetta II,PixelForge,03/08/2021,Strategy,3,52.4496,572,85.55,184,98,48.7,Three friends who quit their jobs to make games.,2
100169,Swift Protocol,Neon Arc,08/01/2022,Strategy,3,38.6098,604,82.15,946,102,NA,Focused on player agency and emergent gameplay.,1
100170,Storm Dynasty Redux,Moonlight Games,06/06/2022,Simulation,4,41.0386,0,90.13,165,142,NA,"Small team, big dreams. Making games since 2015.",1
100171,Steel Labyrinth,IronGate Studios,15/01/2019,Action,1,35.1378,0,86.41,244,249,56.5,"Small team, big dreams. Making games since 2015.",2
100172,Shattered Cipher,CrystalDawn,10/03/2021,Simulation,4,50.1355,828,98.06,373,118,NA,Focused on player agency and emergent gameplay.,1
100173,Burning Architect Redux,RedKite,19/02/2018,Simulation,4,0,224,87.85,883,470,NA,NA,2
100174,Rising Inferno,RedKite,31/03/2021,Action,1,53.9111,742,52.56,491,224,73.7,We make games that push boundaries.,3
100175,Iron Harbinger (6),thunderbyte,27/03/2024,Strategy,3,0,446,62.08,344,423,64.7,Three friends who quit their jobs to make games.,2
100176,Lone Dominion Redux,CrystalDawn,21/03/2018,Simulation,4,46.2026,960,62.74,99,315,68.7,Building the future of interactive entertainment.,2
100177,Crystal Requiem Reborn,CrystalDawn,23/06/2020,Action,1,40.8899,811,88.14,112,311,92.2,Veterans from AAA studios going indie.,2
100178,Twisted Fortress,Neon Arc,25/03/2019,Action,1,33.3663,551,75.47,300,348,89.7,NA,1
100179,Hidden Protocol Redux,ThunderByte,17/07/2020,Puzzle,5,51.6755,823,82.64,930,245,83.4,Award-winning indie studio based in Melbourne.,2
100180,Shattered Ascension,PixelForge,16/11/2023,Strategy,3,45.364,384,70.39,640,267,44.5,Creating unique worlds one pixel at a time.,1
100181,Broken Genesis,SilverLeaf,09/02/2019,Action,1,49.1016,574,96.28,522,146,NA,Building the future of interactive entertainment.,1
100182,Noble Catalyst,RedKite,23/04/2020,Puzzle,5,0,979,95.47,448,518,71.4,Passionate about narrative-driven experiences.,2
100183,Silent Chronicles,Moonlight Games,13/02/2023,Action,1,28.9076,633,96.34,728,137,NA,We make games that push boundaries.,1
100184,Rogue Dynasty (7),redkite,05/12/2018,Action,1,64.4921,610,53.97,1440,828,82.1,Passionate about narrative-driven experiences.,2
100185,Neon Abyss III,RedKite,17/01/2019,RPG,2,51.8031,805,59.9,368,453,80.3,Veterans from AAA studios going indie.,1
100186,Lone Oblivion,ThunderByte,05/07/2020,Action,1,52.6488,986,67.55,961,122,79,Creating unique worlds one pixel at a time.,1
100187,Hidden Solstice II,Moonlight Games,18/03/2018,Strategy,3,53.5505,405,75.32,1083,351,53.1,NA,1
100188,Lone Paragon II,CrystalDawn,19/11/2018,Strategy,3,62.8914,468,94.72,615,286,93.1,Passionate about narrative-driven experiences.,2
100189,Dark Dynasty II,ThunderByte,19/11/2021,Strategy,3,51.452,492,50.27,499,477,98.3,"Small team, big dreams. Making games since 2015.",1
100190,Iron Harbinger (8),Moonlight Games,29/01/2019,Action,1,44.5566,828,84.03,517,42,NA,NA,3
100191,Phantom Inferno Origins,CrystalDawn,30/08/2019,Strategy,3,44.372,629,89.7,547,167,54.7,Focused on player agency and emergent gameplay.,1
100192,Steel Tempest,thunderbyte,12/02/2022,Action,1,40.0224,275,90.88,217,446,46.1,Three friends who quit their jobs to make games.,3
100193,Noble Frontier II,Moonlight Games,08/03/2018,Action,1,47.927,437,95.34,833,103,96.3,NA,1
100194,Golden Crusade Redux,PixelForge,11/08/2018,Action,1,53.2089,716,95.8,1211,150,84.2,NA,2
100195,Forsaken Realm Redux,ThunderByte,01/01/2023,RPG,2,42.3161,0,65.35,365,341,NA,NA,1
100196,Crystal Vendetta Reborn (9),MOONLIGHT GAMES,09/03/2024,Action,1,56.1515,874,61.26,136,120,96.7,We make games that push boundaries.,2
100197,Crystal Vanguard,Neon Arc,08/05/2019,Action,1,53.2886,0,92.88,1123,251,84.1,Veterans from AAA studios going indie.,2
100198,Lunar Wanderer III,IronGate Studios,08/01/2021,Simulation,4,39.0971,485,54.28,1000,280,64.3,Veterans from AAA studios going indie.,2
100199,Twisted Horizon Redux,CrystalDawn,29/04/2023,Simulation,4,53.5327,262,69.7,640,392,67.2,We make games that push boundaries.,1
100200,Radiant Eclipse II,IronGate Studios,18/02/2022,RPG,2,42.8741,732,63.64,306,291,58.2,NA,2
100201,Rising Sanctum II,Neon Arc,13/04/2020,Action,1,54.2332,435,93.06,721,309,71.1,NA,2
100202,Silent Realm,CrystalDawn,12/06/2019,Strategy,3,61.3517,795,54.09,1162,666,94.7,Our mission: games that matter.,1
100203,Hidden Chronicles,IronGate Studios,05/09/2022,Simulation,4,41.2296,176,91.57,514,315,45.4,NA,1
100204,Savage Revenant (10),RedKite,06/03/2020,RPG,2,49.8668,819,96.8,513,477,92.8,NA,1
100205,Fallen Dynasty,RedKite,10/10/2021,RPG,2,63.2636,953,76.42,582,250,68.6,NA,2
100206,Frozen Dominion Reborn,IronGate Studios,22/11/2022,RPG,2,54.8501,347,54.54,636,381,65.2,Award-winning indie studio based in Melbourne.,3
100207,Ancient Covenant Origins,SilverLeaf,03/04/2019,Simulation,4,0,596,96.92,1159,328,80.6,Our mission: games that matter.,2
100208,Crimson Remnants Origins,Neon Arc,21/07/2022,Action,1,0,437,76.84,202,99,93.4,Award-winning indie studio based in Melbourne.,1
100209,Forsaken Paragon Reborn,CrystalDawn,27/01/2024,Action,1,0,1145,56.39,375,387,NA,NA,3
100210,Rogue Zenith,PixelForge,21/08/2019,Simulation,4,50.0469,244,80.09,672,349,46.9,"Small team, big dreams. Making games since 2015.",2
100211,Grand Labyrinth II,ThunderByte,07/02/2024,Strategy,3,56.1929,218,98.65,772,79,92.5,Award-winning indie studio based in Melbourne.,2
